;name;regions;trainingIterations;threshold;fn_rate
0;;16;800;0.0;59.20003692894321
1;;16;800;0.001;19.651496162924577
2;;16;800;0.01;3.476141456723423
3;;16;800;0.02;0.08533576197263847
4;;16;800;0.05;0.0
5;;16;800;0.1;0.0
6;;16;800;0.2;0.0
7;;16;800;0.5;0.0
8;;16;800;1.0;0.0
0;;16;1600;0.0;59.18050941841442
1;;16;1600;0.001;19.621808423953873
2;;16;1600;0.01;3.470326395252755
3;;16;1600;0.02;0.08618235879819511
4;;16;1600;0.05;0.0
5;;16;1600;0.1;0.0
6;;16;1600;0.2;0.0
7;;16;1600;0.5;0.0
8;;16;1600;1.0;0.0
0;;16;3200;0.0;59.17147844504732
1;;16;3200;0.001;19.616357076263544
2;;16;3200;0.01;3.470380490495116
3;;16;3200;0.02;0.08660651390472472
4;;16;3200;0.05;0.0
5;;16;3200;0.1;0.0
6;;16;3200;0.2;0.0
7;;16;3200;0.5;0.0
8;;16;3200;1.0;0.0
0;;16;6400;0.0;59.812461788586056
1;;16;6400;0.001;20.226019311860718
2;;16;6400;0.01;3.521267481121071
3;;16;6400;0.02;0.09133336292951902
4;;16;6400;0.05;0.0
5;;16;6400;0.1;0.0
6;;16;6400;0.2;0.0
7;;16;6400;0.5;0.0
8;;16;6400;1.0;0.0
0;;16;12800;0.0;60.04864991902732
1;;16;12800;0.001;20.447086739012637
2;;16;12800;0.01;3.542792949845101
3;;16;12800;0.02;0.09265946585323344
4;;16;12800;0.05;0.0
5;;16;12800;0.1;0.0
6;;16;12800;0.2;0.0
7;;16;12800;0.5;0.0
8;;16;12800;1.0;0.0
0;;16;25600;0.0;60.04239552995353
1;;16;25600;0.001;20.447855901452893
2;;16;25600;0.01;3.544670336441201
3;;16;25600;0.02;0.09332032163480954
4;;16;25600;0.05;0.0
5;;16;25600;0.1;0.0
6;;16;25600;0.2;0.0
7;;16;25600;0.5;0.0
8;;16;25600;1.0;0.0
0;;16;51200;0.0;60.03414060596651
1;;16;51200;0.001;20.443140430469732
2;;16;51200;0.01;3.541309337975774
3;;16;51200;0.02;0.09311036371201878
4;;16;51200;0.05;0.0
5;;16;51200;0.1;0.0
6;;16;51200;0.2;0.0
7;;16;51200;0.5;0.0
8;;16;51200;1.0;0.0
0;;16;102400;0.0;60.034829365932275
1;;16;102400;0.001;20.443805193930693
2;;16;102400;0.01;3.5434811921869533
3;;16;102400;0.02;0.09386487523791345
4;;16;102400;0.05;0.0
5;;16;102400;0.1;0.0
6;;16;102400;0.2;0.0
7;;16;102400;0.5;0.0
8;;16;102400;1.0;0.0
0;;16;204800;0.0;60.222680217304756
1;;16;204800;0.001;20.62746953518941
2;;16;204800;0.01;3.564041983431157
3;;16;204800;0.02;0.09556356582916285
4;;16;204800;0.05;0.0
5;;16;204800;0.1;0.0
6;;16;204800;0.2;0.0
7;;16;204800;0.5;0.0
8;;16;204800;1.0;0.0
