;name;regions;trainingIterations;threshold;fn_rate
0;;16;800;0.0;87.84526509030239
1;;16;800;1.0;33.755313514023086
2;;16;800;10.0;17.323480900708176
3;;16;800;20.0;10.909780163005728
4;;16;800;50.0;4.999597366960591
5;;16;800;100.0;2.6006368054475217
6;;16;800;200.0;1.3658906452536437
7;;16;800;500.0;0.5974406475991101
8;;16;800;1000.0;0.30629066375927755
0;;16;1600;0.0;87.92164601540044
1;;16;1600;1.0;33.895917308684496
2;;16;1600;10.0;17.601117274723745
3;;16;1600;20.0;10.977711456044235
4;;16;1600;50.0;5.045282432905542
5;;16;1600;100.0;2.668947470746527
6;;16;1600;200.0;1.3605830417796132
7;;16;1600;500.0;0.5701338549977241
8;;16;1600;1000.0;0.2896755188965224
0;;16;3200;0.0;87.89402051498077
1;;16;3200;1.0;33.71020874491785
2;;16;3200;10.0;17.443627831880786
3;;16;3200;20.0;10.763599738125015
4;;16;3200;50.0;4.76584776416174
5;;16;3200;100.0;2.3809497515420888
6;;16;3200;200.0;1.142624982434148
7;;16;3200;500.0;0.4543192601793857
8;;16;3200;1000.0;0.20867664147241344
0;;16;6400;0.0;87.8951013198704
1;;16;6400;1.0;33.82704725037765
2;;16;6400;10.0;17.634390256961314
3;;16;6400;20.0;11.085670022106553
4;;16;6400;50.0;4.940712894422481
5;;16;6400;100.0;2.483155440623604
6;;16;6400;200.0;1.2243244676366287
7;;16;6400;500.0;0.5193659046598951
8;;16;6400;1000.0;0.29262867362846473
0;;16;12800;0.0;87.92407750942276
1;;16;12800;1.0;34.04352559935679
2;;16;12800;10.0;17.955124826389497
3;;16;12800;20.0;11.439864814308647
4;;16;12800;50.0;5.227315961298051
5;;16;12800;100.0;2.7532633431037676
6;;16;12800;200.0;1.4273184873770968
7;;16;12800;500.0;0.5262812449842641
8;;16;12800;1000.0;0.22574070839977622
0;;16;25600;0.0;87.77575853076792
1;;16;25600;1.0;34.017731521150935
2;;16;25600;10.0;17.843544421407522
3;;16;25600;20.0;11.389742266951556
4;;16;25600;50.0;5.384537291450713
5;;16;25600;100.0;2.800243815211054
6;;16;25600;200.0;1.4045240863662305
7;;16;25600;500.0;0.6009248237158484
8;;16;25600;1000.0;0.2938418027781813
0;;16;51200;0.0;87.85493607573966
1;;16;51200;1.0;34.18081554919187
2;;16;51200;10.0;18.106484276726313
3;;16;51200;20.0;11.498436368974957
4;;16;51200;50.0;5.33905314311819
5;;16;51200;100.0;2.8551244319615363
6;;16;51200;200.0;1.550017567001875
7;;16;51200;500.0;0.7565835260904518
8;;16;51200;1000.0;0.45057648947645557
