;name;regions;trainingIterations;threshold;fn_rate
0;;16;800;0.0;43.32795071659933
1;;16;800;1.0;10.688626910245468
2;;16;800;10.0;3.4228683747019004
3;;16;800;20.0;1.7270802209857665
4;;16;800;50.0;0.12552011242098476
5;;16;800;100.0;0.00047498851231486883
6;;16;800;200.0;0.0
7;;16;800;500.0;0.0
8;;16;800;1000.0;0.0
0;;16;1600;0.0;43.32848768456708
1;;16;1600;1.0;10.685460011616193
2;;16;1600;10.0;3.4286672379221748
3;;16;1600;20.0;1.7311881768749136
4;;16;1600;50.0;0.12943808117232464
5;;16;1600;100.0;0.0005451135058201417
6;;16;1600;200.0;0.0
7;;16;1600;500.0;0.0
8;;16;1600;1000.0;0.0
0;;16;3200;0.0;43.31840170042535
1;;16;3200;1.0;10.695852201237813
2;;16;3200;10.0;3.425694002144439
3;;16;3200;20.0;1.7297536401488927
4;;16;3200;50.0;0.11848717898546536
5;;16;3200;100.0;0.00033417544078729976
6;;16;3200;200.0;0.0
7;;16;3200;500.0;0.0
8;;16;3200;1000.0;0.0
0;;16;6400;0.0;43.36990752156935
1;;16;6400;1.0;10.71811549277477
2;;16;6400;10.0;3.459597248977897
3;;16;6400;20.0;1.7694566145107475
4;;16;6400;50.0;0.14247850321444117
5;;16;6400;100.0;0.000593715403708663
6;;16;6400;200.0;0.0
7;;16;6400;500.0;0.0
8;;16;6400;1000.0;0.0
0;;16;12800;0.0;43.35761988697048
1;;16;12800;1.0;10.736472319285642
2;;16;12800;10.0;3.459439213387344
3;;16;12800;20.0;1.7589276549089328
4;;16;12800;50.0;0.12794127441431688
5;;16;12800;100.0;0.0005055577279884011
6;;16;12800;200.0;0.0
7;;16;12800;500.0;0.0
8;;16;12800;1000.0;0.0
0;;16;25600;0.0;43.44357318760539
1;;16;25600;1.0;10.80433215867701
2;;16;25600;10.0;3.5443982829696887
3;;16;25600;20.0;1.8424172156312066
4;;16;25600;50.0;0.16709015852031575
5;;16;25600;100.0;0.0008138293269688654
6;;16;25600;200.0;0.0
7;;16;25600;500.0;0.0
8;;16;25600;1000.0;0.0
0;;16;51200;0.0;43.45679567226471
1;;16;51200;1.0;10.80343584727185
2;;16;51200;10.0;3.5509108710517636
3;;16;51200;20.0;1.8526013481228436
4;;16;51200;50.0;0.1724546697398962
5;;16;51200;100.0;0.0008267832384123141
6;;16;51200;200.0;0.0
7;;16;51200;500.0;0.0
8;;16;51200;1000.0;0.0
