;name;regions;trainingIterations;threshold;fn_rate
0;;16;800;0.0;55.09903173449124
1;;16;800;1.0;2.647018700267102
2;;16;800;10.0;1.093995854719868
3;;16;800;20.0;0.9470740430123196
4;;16;800;50.0;0.3622004399515712
5;;16;800;100.0;0.12456768324727045
6;;16;800;200.0;0.01685085827761595
7;;16;800;500.0;0.0
8;;16;800;1000.0;0.0
0;;16;1600;0.0;56.697807333486296
1;;16;1600;1.0;3.4410985662630407
2;;16;1600;10.0;1.6758213736330951
3;;16;1600;20.0;1.475346723355079
4;;16;1600;50.0;0.6871087400518575
5;;16;1600;100.0;0.249647879648423
6;;16;1600;200.0;0.028705492528063044
7;;16;1600;500.0;0.0
8;;16;1600;1000.0;0.0
0;;16;3200;0.0;58.02352265729714
1;;16;3200;1.0;4.309886970502265
2;;16;3200;10.0;2.341017084916421
3;;16;3200;20.0;2.0925913766215958
4;;16;3200;50.0;1.1292918485036056
5;;16;3200;100.0;0.4838345446765873
6;;16;3200;200.0;0.0352625291897742
7;;16;3200;500.0;0.0
8;;16;3200;1000.0;0.0
0;;16;6400;0.0;58.855326555071755
1;;16;6400;1.0;4.915550403586229
2;;16;6400;10.0;2.842983858203059
3;;16;6400;20.0;2.574072868570039
4;;16;6400;50.0;1.497738284731266
5;;16;6400;100.0;0.6729631427482856
6;;16;6400;200.0;0.08187049090241597
7;;16;6400;500.0;0.0016720402162020698
8;;16;6400;1000.0;0.00010574167375190956
0;;16;12800;0.0;59.76465550919836
1;;16;12800;1.0;5.774655098309944
2;;16;12800;10.0;3.6534306247525703
3;;16;12800;20.0;3.3099148678341552
4;;16;12800;50.0;1.9854454193442352
5;;16;12800;100.0;0.9454770642740352
6;;16;12800;200.0;0.18743685851677108
7;;16;12800;500.0;0.0032610191467478183
8;;16;12800;1000.0;0.0001271797467231649
0;;16;25600;0.0;59.87283990203435
1;;16;25600;1.0;5.835072570886536
2;;16;25600;10.0;3.6957381185822737
3;;16;25600;20.0;3.3471793563211802
4;;16;25600;50.0;2.0097177756816964
5;;16;25600;100.0;0.9560196098892035
6;;16;25600;200.0;0.18810819117962901
7;;16;25600;500.0;0.003228237949457031
8;;16;25600;1000.0;0.00012990897180913604
0;;16;51200;0.0;60.074145475531225
1;;16;51200;1.0;5.92296166471977
2;;16;51200;10.0;3.7591766454183904
3;;16;51200;20.0;3.40063180864987
4;;16;51200;50.0;2.04830825849364
5;;16;51200;100.0;0.9685006694731944
6;;16;51200;200.0;0.19104542129091162
7;;16;51200;500.0;0.0032601165755528298
8;;16;51200;1000.0;0.0001262607213967829
0;;16;102400;0.0;60.01090974940054
1;;16;102400;1.0;5.91772549290064
2;;16;102400;10.0;3.7604960969648533
3;;16;102400;20.0;3.402139651391357
4;;16;102400;50.0;2.0509656030733883
5;;16;102400;100.0;0.9718624474883801
6;;16;102400;200.0;0.19098369347324226
7;;16;102400;500.0;0.003283340936235449
8;;16;102400;1000.0;0.00019085430072698667
0;;16;204800;0.0;60.196063003448295
1;;16;204800;1.0;5.980157490848524
2;;16;204800;10.0;3.799352413037757
3;;16;204800;20.0;3.4387995422525366
4;;16;204800;50.0;2.071312117301746
5;;16;204800;100.0;0.977006155162043
6;;16;204800;200.0;0.19111909819290568
7;;16;204800;500.0;0.0033282499431693245
8;;16;204800;1000.0;0.00016156553122181186
